subject,session,UTC_Timestamp,BR_mean,BR_stdev,BR_1std_BB_RR,B_level,B_fluctuation,BF_elapsed_time,RtoR_mean,RtoR_stdev,RtoR_1std
26,DRIVING1,2014-3-3T11:32:51.000-05:00,65467.1,16.7295,14557,High,Breathing_in,2,0.00155556,0.423134,-0.231778
26,DRIVING1,2014-3-3T11:32:52.000-05:00,65505.8,3.5,38.7222,High,Breath_holding,1,-0.152,0.259384,-0.153556
26,DRIVING1,2014-3-3T11:32:53.000-05:00,40044.7,31942.9,-25461.2,Medium,Breathing_out,1,0.398889,0.706922,0.550889
26,DRIVING1,2014-3-3T11:32:54.000-05:00,32788.3,32737.5,-7256.39,Medium,Breathing_out,2,-0.0735556,0.440491,-0.472444
26,DRIVING1,2014-3-3T11:32:55.000-05:00,47321.8,29320,14533.6,Medium,Breathing_in,1,0.0382222,0.187608,0.111778
26,DRIVING1,2014-3-3T11:32:56.000-05:00,38545.5,32246.8,-8776.36,Medium,Breathing_out,1,-0.417647,0.612373,-0.455869
26,DRIVING1,2014-3-3T11:32:57.000-05:00,40058.6,31927.4,1513.08,Medium,Breathing_in,1,-0.0484444,0.300982,0.369203
26,DRIVING1,2014-3-3T11:32:58.000-05:00,40061.2,31899.4,2.61111,Medium,Breath_holding,1,0.0506667,0.239429,0.0991111
26,DRIVING1,2014-3-3T11:32:59.000-05:00,36413.3,32549.2,-3647.83,Medium,Breathing_out,1,0.195111,0.466908,0.144444
26,DRIVING1,2014-3-3T11:33:00.000-05:00,61872.4,15006.3,25459.1,High,Breathing_in,1,0.032,0.30461,-0.163111
26,DRIVING1,2014-3-3T11:33:01.000-05:00,65520.3,3.03681,3647.89,High,Breathing_in,2,-0.028,0.246951,-0.06
26,DRIVING1,2014-3-3T11:33:02.000-05:00,14570.9,27237.5,-50949.4,Low,Breathing_out,1,0.0162222,0.278525,0.0442222
26,DRIVING1,2014-3-3T11:33:03.000-05:00,34693.2,32705.5,20122.3,Medium,Breathing_in,1,0.186353,0.276748,0.170131
26,DRIVING1,2014-3-3T11:33:04.000-05:00,61888.3,15009.9,27195.2,High,Breathing_in,2,-0.0742222,0.246022,-0.260575
26,DRIVING1,2014-3-3T11:33:05.000-05:00,29127.7,32557.4,-32760.7,Medium,Breathing_out,1,-0.0397778,0.251652,0.0344444
26,DRIVING1,2014-3-3T11:33:06.000-05:00,47328.8,29346.8,18201.2,Medium,Breathing_in,1,-0.0866667,0.243872,-0.0468889
26,DRIVING1,2014-3-3T11:33:07.000-05:00,65.9444,48.6889,-47262.9,Low,Breathing_out,1,0.116889,0.423218,0.203556
26,DRIVING1,2014-3-3T11:33:08.000-05:00,47320.8,29291.4,47254.8,Medium,Breathing_in,1,-0.102222,0.344721,-0.219111
26,DRIVING1,2014-3-3T11:33:09.000-05:00,65504.6,10.6361,18183.8,High,Breathing_in,2,0.118889,0.17525,0.221111
26,DRIVING1,2014-3-3T11:33:10.000-05:00,26997.2,32222.5,-38507.4,Medium,Breathing_out,1,-0.0828235,0.323498,-0.201712
26,DRIVING1,2014-3-3T11:33:11.000-05:00,32764.7,32745.5,5767.55,Medium,Breathing_in,1,-0.048,0.256312,0.0348235
26,DRIVING1,2014-3-3T11:33:12.000-05:00,61880.1,15008.1,29115.4,High,Breathing_in,2,0.0655556,0.314353,0.113556
26,DRIVING1,2014-3-3T11:33:13.000-05:00,25488.4,31934,-36391.7,Medium,Breathing_out,1,-0.180889,0.394585,-0.246444
26,DRIVING1,2014-3-3T11:33:14.000-05:00,40049.8,31933.4,14561.3,Medium,Breathing_in,1,-0.133778,0.262474,0.0471111
26,DRIVING1,2014-3-3T11:33:15.000-05:00,88.0556,60.3153,-39961.7,Low,Breathing_out,1,0.212,8.32667e-017,0.345778
26,DRIVING1,2014-3-3T11:33:16.000-05:00,14728.8,27118.5,14640.8,Low,Breathing_in,1,0.212,8.32667e-017,0
26,DRIVING1,2014-3-3T11:33:17.000-05:00,65374.1,24.1916,50645.2,High,Breathing_in,2,0.0221176,0.759529,-0.189882
26,DRIVING1,2014-3-3T11:33:18.000-05:00,40046.7,31896.5,-25327.4,Medium,Breathing_out,1,-0.597333,1.30791,-0.619451
26,DRIVING1,2014-3-3T11:33:19.000-05:00,65472.3,15.0916,25425.6,High,Breathing_in,1,-0.224444,0.441164,0.372889
26,DRIVING1,2014-3-3T11:33:20.000-05:00,65512.5,9.0262,40.2222,High,Breath_holding,1,0.238,0.455472,0.462444
26,DRIVING1,2014-3-3T11:33:21.000-05:00,21849.9,30880.4,-43662.6,Medium,Breathing_out,1,-0.182222,0.576145,-0.420222
26,DRIVING1,2014-3-3T11:33:22.000-05:00,58242.9,20579.6,36393,High,Breathing_in,1,-0.466222,0.46889,-0.284
26,DRIVING1,2014-3-3T11:33:23.000-05:00,29147.3,32531.5,-29095.6,Medium,Breathing_out,1,0.646667,0.603398,1.11289
26,DRIVING1,2014-3-3T11:33:24.000-05:00,38549.7,32217.9,9402.43,Medium,Breathing_in,1,0.164706,0.447199,-0.481961
26,DRIVING1,2014-3-3T11:33:25.000-05:00,58235,20588.8,19685.3,High,Breathing_in,2,-0.234667,0.795731,-0.399373
26,DRIVING1,2014-3-3T11:33:26.000-05:00,50965.8,27240,-7269.17,High,Breathing_out,1,-1.06933,0.822129,-0.834667
26,DRIVING1,2014-3-3T11:33:27.000-05:00,7339.22,20571.7,-43626.6,Low,Breathing_out,2,0.0471111,0.53953,1.11644
26,DRIVING1,2014-3-3T11:33:28.000-05:00,47322.3,29315.7,39983.1,Medium,Breathing_in,1,0.82,2.22045e-016,0.772889
26,DRIVING1,2014-3-3T11:33:29.000-05:00,32799.4,32704.6,-14522.9,Medium,Breathing_out,1,-0.0766667,0.644242,-0.896667
26,DRIVING1,2014-3-3T11:33:30.000-05:00,3881.39,14946.3,-28918,Low,Breathing_out,2,0.0766667,0.24604,0.153333
26,DRIVING1,2014-3-3T11:33:31.000-05:00,65351.1,29.6855,61469.7,High,Breathing_in,1,0.0503529,0.28226,-0.0263137
26,DRIVING1,2014-3-3T11:33:32.000-05:00,65454.9,28.4095,103.83,High,Breathing_in,2,-0.0435556,0.343047,-0.0939085
26,DRIVING1,2014-3-3T11:33:33.000-05:00,47313.6,29333.5,-18141.3,Medium,Breathing_out,1,0.0388889,0.27646,0.0824444
26,DRIVING1,2014-3-3T11:33:34.000-05:00,58237.1,20589,10923.5,High,Breathing_in,1,0.0206667,0.221615,-0.0182222
26,DRIVING1,2014-3-3T11:33:35.000-05:00,65509.6,5.12227,7272.5,High,Breathing_in,2,-0.0724444,0.426268,-0.0931111
26,DRIVING1,2014-3-3T11:33:36.000-05:00,61884.1,15008.1,-3625.5,High,Breathing_out,1,0.122667,0.727467,0.195111
26,DRIVING1,2014-3-3T11:33:37.000-05:00,10964.2,24400.5,-50919.9,Low,Breathing_out,2,0.250222,0.546753,0.127556
26,DRIVING1,2014-3-3T11:33:38.000-05:00,65513.4,7.7227,54549.1,High,Breathing_in,1,-0.257882,0.50712,-0.508105
26,DRIVING1,2014-3-3T11:33:39.000-05:00,36402.4,32552.4,-29111,Medium,Breathing_out,1,-0.102222,0.518737,0.15566
26,DRIVING1,2014-3-3T11:33:40.000-05:00,3703.5,14996.4,-32698.9,Low,Breathing_out,2,-0.0531111,0.391718,0.0491111
26,DRIVING1,2014-3-3T11:33:41.000-05:00,58224.2,20571.2,54520.7,High,Breathing_in,1,0.104222,0.463828,0.157333
26,DRIVING1,2014-3-3T11:33:42.000-05:00,43681.8,30857.3,-14542.4,Medium,Breathing_out,1,0.0693333,0.384636,-0.0348889
26,DRIVING1,2014-3-3T11:33:43.000-05:00,128.667,63.3596,-43553.1,Low,Breathing_out,2,0.0486667,0.228293,-0.0206667
26,DRIVING1,2014-3-3T11:33:44.000-05:00,65438.7,21.6225,65310.1,High,Breathing_in,1,0.172,5.55112e-017,0.123333
26,DRIVING1,2014-3-3T11:33:45.000-05:00,65490.1,19.3782,51.3954,High,Breathing_in,2,0.172,2.77556e-017,-2.77556e-017
26,DRIVING1,2014-3-3T11:33:46.000-05:00,43682.6,30887.1,-21807.5,Medium,Breathing_out,1,-0.688,1.38671,-0.86
26,DRIVING1,2014-3-3T11:33:47.000-05:00,65523.2,3.04696,21840.6,High,Breathing_in,1,0.444,0,1.132
26,DRIVING1,2014-3-3T11:33:48.000-05:00,25507.8,31925,-40015.4,Medium,Breathing_out,1,-0.392222,0.829162,-0.836222
