subject,session,UTC_Timestamp,ECG_mean,ECG_stdev,ECG_1std
5,DRIVING1,2013-11-1T11:36:52.000-05:00,2057.11,135.277,2.24
5,DRIVING1,2013-11-1T11:36:53.000-05:00,2054.22,100.471,-2.896
5,DRIVING1,2013-11-1T11:36:54.000-05:00,2054.02,132.152,-0.192
5,DRIVING1,2013-11-1T11:36:55.000-05:00,2056.26,89.0907,2.24
5,DRIVING1,2013-11-1T11:36:56.000-05:00,2055.34,138.632,-0.928
5,DRIVING1,2013-11-1T11:36:57.000-05:00,2057.64,137.523,2.304
5,DRIVING1,2013-11-1T11:36:58.000-05:00,2052.14,98.4432,-5.504
5,DRIVING1,2013-11-1T11:36:59.000-05:00,2055.56,147.654,3.424
5,DRIVING1,2013-11-1T11:37:00.000-05:00,2054.66,102.245,-0.896
5,DRIVING1,2013-11-1T11:37:01.000-05:00,2055.66,135.688,0.992
5,DRIVING1,2013-11-1T11:37:02.000-05:00,2056.06,105.477,0.4
5,DRIVING1,2013-11-1T11:37:03.000-05:00,2053.66,103.694,-2.4
5,DRIVING1,2013-11-1T11:37:04.000-05:00,2056.34,119.541,2.688
5,DRIVING1,2013-11-1T11:37:05.000-05:00,2050.76,97.68,-5.584
5,DRIVING1,2013-11-1T11:37:06.000-05:00,2058.76,133.471,8
5,DRIVING1,2013-11-1T11:37:07.000-05:00,2054.84,104.341,-3.92
5,DRIVING1,2013-11-1T11:37:08.000-05:00,2056.47,128.984,1.632
5,DRIVING1,2013-11-1T11:37:09.000-05:00,2049.24,112.624,-7.232
5,DRIVING1,2013-11-1T11:37:10.000-05:00,2059.32,117.812,10.08
5,DRIVING1,2013-11-1T11:37:11.000-05:00,2057.14,134.751,-2.176
5,DRIVING1,2013-11-1T11:37:12.000-05:00,2053.58,99.8659,-3.568
5,DRIVING1,2013-11-1T11:37:13.000-05:00,2054.36,134.621,0.784
5,DRIVING1,2013-11-1T11:37:14.000-05:00,2055.88,96.9701,1.52
5,DRIVING1,2013-11-1T11:37:15.000-05:00,2055.42,148.111,-0.464
5,DRIVING1,2013-11-1T11:37:16.000-05:00,2046.94,112.522,-8.48
5,DRIVING1,2013-11-1T11:37:17.000-05:00,2062.47,125.498,15.536
5,DRIVING1,2013-11-1T11:37:18.000-05:00,2054.97,148.24,-7.504
5,DRIVING1,2013-11-1T11:37:19.000-05:00,2048.89,110.749,-6.08
5,DRIVING1,2013-11-1T11:37:20.000-05:00,2061.32,132.316,12.432
5,DRIVING1,2013-11-1T11:37:21.000-05:00,2053.69,137.276,-7.632
5,DRIVING1,2013-11-1T11:37:22.000-05:00,2056.47,96.2697,2.784
5,DRIVING1,2013-11-1T11:37:23.000-05:00,2055.03,141.013,-1.44
5,DRIVING1,2013-11-1T11:37:24.000-05:00,2055.08,102.409,0.048
